Unnamed: 0,regionpsgc,provincepsgc,municipalitycitypsgc,linelist_date,active_cases
329,040000000,042100000,042109000,2020-05-25,33
330,040000000,042100000,042109000,2020-05-26,31
331,040000000,042100000,042109000,2020-05-27,32
332,130000000,137400000,137403000,2020-05-14,263
333,130000000,137400000,137403000,2020-05-16,263
334,130000000,137400000,137403000,2020-05-17,274
335,130000000,137400000,137403000,2020-05-18,286
336,130000000,137400000,137403000,2020-05-19,284
337,030000000,031400000,031420000,2020-05-14,14
338,030000000,031400000,031420000,2020-05-16,16
339,030000000,031400000,031420000,2020-05-17,16
340,030000000,031400000,031420000,2020-05-18,16
341,030000000,031400000,031420000,2020-05-19,16
342,030000000,031400000,031420000,2020-05-20,16
343,030000000,031400000,031420000,2020-05-21,16
344,030000000,031400000,031420000,2020-05-22,16
345,030000000,031400000,031420000,2020-05-23,17
346,030000000,031400000,031420000,2020-05-24,17
347,030000000,031400000,031420000,2020-05-25,17
348,030000000,031400000,031420000,2020-05-26,18
349,030000000,031400000,031420000,2020-05-27,19
350,030000000,031400000,031420000,2020-05-29,23
351,030000000,031400000,031420000,2020-05-30,23
352,030000000,031400000,031420000,2020-05-31,22
353,130000000,133900000,133906000,2020-05-14,124
354,130000000,133900000,133906000,2020-05-16,119
355,130000000,133900000,133906000,2020-05-17,117
356,130000000,133900000,133906000,2020-05-18,110
357,130000000,133900000,133906000,2020-05-19,105
358,130000000,133900000,133906000,2020-05-20,104
359,130000000,133900000,133906000,2020-05-21,100
360,130000000,133900000,133906000,2020-05-22,100
361,130000000,133900000,133906000,2020-05-23,104
362,130000000,133900000,133906000,2020-05-24,102
363,130000000,133900000,133906000,2020-05-25,109
364,130000000,133900000,133906000,2020-05-26,109
365,130000000,133900000,133906000,2020-05-27,108
366,130000000,133900000,133906000,2020-05-29,113
367,130000000,133900000,133906000,2020-05-30,113
368,130000000,133900000,045639000,2020-05-31,112
369,100000000,104200000,104207000,2020-05-14,1
370,100000000,104200000,104207000,2020-05-16,1
371,100000000,104200000,104207000,2020-05-17,1
372,100000000,104200000,104207000,2020-05-18,1
373,100000000,104200000,104207000,2020-05-19,1
374,100000000,104200000,104207000,2020-05-20,1
375,100000000,104200000,104207000,2020-05-21,1
376,100000000,104200000,104207000,2020-05-22,1
377,100000000,104200000,104207000,2020-05-23,1
378,100000000,104200000,104207000,2020-05-24,1
379,100000000,104200000,104207000,2020-05-25,1
380,100000000,104200000,104207000,2020-05-26,1
381,130000000,137500000,137504000,2020-05-14,104
382,130000000,137500000,137504000,2020-05-16,106
383,130000000,137500000,137504000,2020-05-17,108
384,130000000,137500000,137504000,2020-05-18,117
385,130000000,137500000,137504000,2020-05-19,131
386,130000000,137500000,137504000,2020-05-20,132
387,130000000,137500000,137504000,2020-05-21,133
388,130000000,137500000,137504000,2020-05-22,133
389,130000000,137500000,137504000,2020-05-23,135
390,130000000,137500000,137504000,2020-05-24,133
391,130000000,137500000,137504000,2020-05-25,132
392,130000000,137500000,137504000,2020-05-26,135
393,130000000,137500000,137504000,2020-05-27,171
394,130000000,137500000,137504000,2020-05-29,174
395,130000000,137500000,137504000,2020-05-30,178
396,130000000,137500000,137504000,2020-05-31,145
397,130000000,137400000,137401000,2020-05-14,402
398,130000000,137400000,137401000,2020-05-16,401
399,130000000,137400000,137401000,2020-05-17,400
400,130000000,137400000,137401000,2020-05-18,404
401,130000000,137400000,137401000,2020-05-19,398
402,130000000,137400000,137401000,2020-05-20,395
403,130000000,137400000,137401000,2020-05-21,385
404,130000000,137400000,137401000,2020-05-22,385
405,130000000,137400000,137401000,2020-05-23,391
406,130000000,137400000,137401000,2020-05-24,392
407,130000000,137400000,137401000,2020-05-25,392
408,130000000,137400000,137401000,2020-05-26,386
409,130000000,137400000,137401000,2020-05-27,444
410,130000000,137400000,137401000,2020-05-29,459
411,130000000,137400000,137401000,2020-05-30,465
412,130000000,137400000,137401000,2020-05-31,357
413,030000000,030800000,030812000,2020-05-14,6
414,030000000,030800000,030812000,2020-05-16,5
415,030000000,030800000,030812000,2020-05-17,5
416,030000000,030800000,030812000,2020-05-18,5
417,030000000,030800000,030812000,2020-05-19,5
418,030000000,030800000,030812000,2020-05-20,6
419,030000000,030800000,030812000,2020-05-21,6
420,030000000,030800000,030812000,2020-05-22,6
421,030000000,030800000,030812000,2020-05-23,6
422,030000000,030800000,030812000,2020-05-24,6
423,030000000,030800000,030812000,2020-05-25,6
424,030000000,030800000,030812000,2020-05-26,6
425,030000000,030800000,030812000,2020-05-27,6
426,030000000,030800000,030812000,2020-05-29,6
427,030000000,030800000,030812000,2020-05-30,6
428,030000000,030800000,030812000,2020-05-31,6
429,130000000,137600000,137604000,2020-05-20,365
430,130000000,137600000,137604000,2020-05-21,363
431,040000000,045800000,045802000,2020-05-14,100
432,130000000,137500000,137502000,2020-05-14,58
433,130000000,137500000,137502000,2020-05-16,62
434,130000000,137500000,137502000,2020-05-17,65
435,130000000,137500000,137502000,2020-05-18,64
436,130000000,137500000,137502000,2020-05-19,67
437,130000000,137500000,137502000,2020-05-20,67
438,130000000,137500000,137502000,2020-05-21,65
439,130000000,137500000,137502000,2020-05-22,65
440,130000000,137500000,137502000,2020-05-23,71
441,130000000,137500000,137502000,2020-05-24,72
442,130000000,137500000,137502000,2020-05-25,72
443,130000000,137500000,137502000,2020-05-26,75
444,130000000,137500000,137502000,2020-05-27,74
445,130000000,137500000,137502000,2020-05-29,77
446,130000000,137500000,137502000,2020-05-30,97
447,040000000,042100000,042113000,2020-05-14,6
448,040000000,042100000,042113000,2020-05-16,5
449,030000000,037100000,037107000,2020-05-14,9
450,030000000,037100000,037107000,2020-05-16,8
451,030000000,037100000,037107000,2020-05-17,8
452,030000000,037100000,037107000,2020-05-18,8
453,030000000,037100000,037107000,2020-05-19,8
454,030000000,037100000,037107000,2020-05-20,8
455,030000000,037100000,037107000,2020-05-21,8
456,030000000,037100000,037107000,2020-05-22,8
457,030000000,037100000,037107000,2020-05-23,8
458,030000000,037100000,037107000,2020-05-24,8
459,030000000,037100000,037107000,2020-05-25,8
460,030000000,037100000,037107000,2020-05-26,8
461,030000000,037100000,037107000,2020-05-27,7
462,030000000,037100000,037107000,2020-05-29,8
463,030000000,037100000,037107000,2020-05-30,8
464,030000000,037100000,037107000,2020-05-31,8
465,030000000,030800000,030803000,2020-05-14,15
466,030000000,030800000,030803000,2020-05-16,9
467,030000000,030800000,030803000,2020-05-17,9
468,030000000,030800000,030803000,2020-05-18,9
469,030000000,030800000,030803000,2020-05-19,9
470,030000000,030800000,030803000,2020-05-20,15
471,030000000,030800000,030803000,2020-05-21,15
472,030000000,030800000,030803000,2020-05-22,15
473,030000000,030800000,030803000,2020-05-23,17
474,030000000,030800000,030803000,2020-05-24,26
475,030000000,030800000,030803000,2020-05-25,25
476,030000000,030800000,030803000,2020-05-26,25
477,030000000,030800000,030803000,2020-05-27,25
478,030000000,030800000,030803000,2020-05-29,28
479,030000000,030800000,030803000,2020-05-30,26
480,030000000,030800000,030803000,2020-05-31,26
481,090000000,097300000,097332000,2020-05-14,69
482,090000000,097300000,097332000,2020-05-16,115
483,090000000,097300000,097332000,2020-05-17,115
484,090000000,097300000,097332000,2020-05-18,115
485,090000000,097300000,097332000,2020-05-19,115
486,090000000,097300000,097332000,2020-05-20,115
487,090000000,097300000,097332000,2020-05-21,115
488,090000000,097300000,097332000,2020-05-22,115
489,090000000,097300000,097332000,2020-05-23,115
490,090000000,097300000,097332000,2020-05-24,115
491,090000000,097300000,097332000,2020-05-25,115
492,090000000,097300000,097332000,2020-05-26,115
493,090000000,097300000,097332000,2020-05-27,115
494,090000000,097300000,097332000,2020-05-29,113
495,090000000,097300000,097332000,2020-05-30,113
496,090000000,097300000,097332000,2020-05-31,117
497,130000000,137400000,137403000,2020-05-20,287
498,130000000,137400000,137403000,2020-05-21,279
499,130000000,137400000,137403000,2020-05-22,278
500,130000000,137400000,137403000,2020-05-23,278
501,130000000,137400000,137403000,2020-05-24,275
502,130000000,137400000,137403000,2020-05-25,274
503,130000000,137400000,137403000,2020-05-26,288
504,130000000,137400000,137403000,2020-05-27,305
505,130000000,137400000,137403000,2020-05-29,335
506,130000000,137400000,137403000,2020-05-30,337
507,130000000,137400000,137403000,2020-05-31,327
508,050000000,050500000,050503000,2020-05-14,11
509,050000000,050500000,050503000,2020-05-16,11
510,050000000,050500000,050503000,2020-05-17,11
511,050000000,050500000,050503000,2020-05-18,11
512,050000000,050500000,050503000,2020-05-19,11
513,050000000,050500000,050503000,2020-05-20,11
514,050000000,050500000,050503000,2020-05-21,11
515,050000000,050500000,050503000,2020-05-22,11
516,050000000,050500000,050503000,2020-05-23,11
517,050000000,050500000,050503000,2020-05-24,11
518,050000000,050500000,050503000,2020-05-25,11
519,050000000,050500000,050503000,2020-05-26,11
520,050000000,050500000,050503000,2020-05-27,11
521,050000000,050500000,050503000,2020-05-29,11
522,050000000,050500000,050503000,2020-05-30,11
523,050000000,050500000,050503000,2020-05-31,11
524,130000000,137500000,137502000,2020-05-31,99
525,040000000,045800000,045802000,2020-05-16,101
526,040000000,045800000,045802000,2020-05-17,101
527,040000000,045800000,045802000,2020-05-18,97
528,040000000,045800000,045802000,2020-05-19,99
529,040000000,045800000,045802000,2020-05-20,99
530,040000000,045800000,045802000,2020-05-21,99
531,040000000,045800000,045802000,2020-05-22,100
532,040000000,045800000,045802000,2020-05-23,100
533,040000000,045800000,045802000,2020-05-24,101
534,040000000,045800000,045802000,2020-05-25,98
535,040000000,045800000,045802000,2020-05-26,99
536,040000000,045800000,045802000,2020-05-27,101
537,040000000,045800000,045802000,2020-05-29,115
538,040000000,045800000,045802000,2020-05-30,119
539,040000000,045800000,045802000,2020-05-31,123
540,060000000,067900000,067903000,2020-05-14,1
541,060000000,067900000,067903000,2020-05-16,1
542,040000000,045800000,045811000,2020-05-14,19
543,040000000,045800000,045811000,2020-05-16,23
544,040000000,045800000,045811000,2020-05-17,23
545,040000000,045800000,045811000,2020-05-18,22
546,040000000,045800000,045811000,2020-05-19,22
547,040000000,045800000,045811000,2020-05-20,21
548,040000000,045800000,045811000,2020-05-21,21
549,040000000,045800000,045811000,2020-05-22,21
550,040000000,045800000,045811000,2020-05-23,21
551,040000000,045800000,045811000,2020-05-24,21
552,040000000,045800000,045811000,2020-05-25,21
553,040000000,045800000,045811000,2020-05-26,20
554,040000000,045800000,045811000,2020-05-27,21
555,040000000,045800000,045811000,2020-05-29,19
556,040000000,045800000,045811000,2020-05-30,20
557,040000000,045800000,023132000,2020-05-31,16
558,130000000,137500000,137503000,2020-05-31,98
559,040000000,042100000,042111000,2020-05-14,5
560,040000000,042100000,042111000,2020-05-16,5
561,040000000,042100000,042111000,2020-05-17,5
562,040000000,042100000,042111000,2020-05-18,5
563,040000000,042100000,042111000,2020-05-19,4
564,040000000,042100000,042111000,2020-05-20,4
565,040000000,042100000,042111000,2020-05-21,4
566,040000000,042100000,042111000,2020-05-22,4
567,040000000,042100000,042111000,2020-05-23,4
568,040000000,042100000,042111000,2020-05-24,4
569,040000000,042100000,042111000,2020-05-25,4
570,040000000,042100000,042111000,2020-05-26,4
571,040000000,042100000,042111000,2020-05-27,4
572,040000000,042100000,042111000,2020-05-29,4
573,040000000,042100000,042111000,2020-05-30,4
574,040000000,042100000,042111000,2020-05-31,4
575,030000000,031400000,031412000,2020-05-14,8
576,030000000,031400000,031412000,2020-05-16,8
577,030000000,031400000,031412000,2020-05-17,8
578,030000000,031400000,031412000,2020-05-18,7
579,030000000,031400000,031412000,2020-05-19,7
